date,price_Bitcoin,price_Ethereum,price_BNB,price_Solana,price_Cardano,price_TRON,price_Hedera,price_Avalanche,price_Sui,price_Litecoin
2024-12-04,96031.630978,3625.710458,740.034937,234.992586,1.201004,0.41559,0.31865,51.222452,3.710232,132.168602
2024-12-05,98881.469456,3839.443461,736.442684,229.066699,1.184245,0.328735,0.28653,52.754436,3.672106,133.697421
2024-12-06,97201.500364,3796.868867,719.76235,237.300859,1.166279,0.32276,0.289173,50.621868,4.220303,136.503224
2024-12-07,99973.851507,4013.726145,732.542429,237.006469,1.233002,0.325199,0.369392,52.65718,4.220492,136.108213
2024-12-08,99781.829992,4000.992077,750.245494,238.893297,1.214443,0.319596,0.330684,51.75754,4.26044,133.689107
2024-12-09,101235.371703,4015.782021,745.375837,237.578546,1.197964,0.320017,0.331281,54.181289,4.253308,135.645794
2024-12-10,97353.947008,3713.313898,688.007367,217.617378,1.007709,0.261951,0.281643,45.188717,3.825907,110.715385
2024-12-11,96649.714468,3626.588642,675.42138,213.526872,1.016615,0.269809,0.2879,44.59993,3.712431,109.527808
2024-12-12,101123.61811,3828.107588,710.690018,227.073141,1.087932,0.282115,0.29934,48.253354,4.372282,117.49408
2024-12-13,100000.808365,3878.850012,705.678965,227.025747,1.123131,0.296763,0.291732,52.93654,4.620514,119.141742
2024-12-14,101352.229713,3907.42966,726.772231,224.595463,1.11673,0.290476,0.314144,52.429973,4.743801,123.801704
2024-12-15,101367.010646,3866.995802,715.448604,219.871836,1.060103,0.28213,0.294207,49.890835,4.460467,118.096512
2024-12-16,104721.501518,3961.315466,722.558193,224.536589,1.105938,0.285913,0.295854,51.002097,4.819895,121.463365
2024-12-17,106074.107235,3992.857196,720.682934,216.51545,1.080502,0.296871,0.282683,49.137541,4.628558,118.362366
2024-12-18,106034.913403,3879.406224,715.652009,222.74033,1.049452,0.278933,0.284177,47.812573,4.636098,124.0881
2024-12-19,100355.576148,3628.262478,687.662433,205.363302,0.968992,0.257981,0.273103,42.830793,4.329301,108.975297
2024-12-20,97851.353771,3434.67547,669.022879,194.901982,0.885629,0.251984,0.269944,39.081347,4.092943,99.923422
2024-12-21,97691.434317,3468.65892,677.848577,194.121985,0.950615,0.248534,0.269905,39.781668,4.564787,101.327079
2024-12-22,97202.824968,3337.597223,662.424881,181.028908,0.90466,0.244746,0.253637,37.379072,4.357368,101.292136
2024-12-23,95094.273949,3275.889427,648.57214,180.152994,0.882796,0.243732,0.265155,36.51909,4.30246,99.473996
2024-12-24,94644.910855,3414.641442,692.286109,189.842186,0.922875,0.252053,0.29111,39.008079,4.707137,106.299805
2024-12-25,98695.714008,3497.555288,697.953756,197.500986,0.936856,0.256734,0.33182,41.248534,4.612288,108.394195
2024-12-26,99344.954174,3494.510927,702.3466,197.357659,0.916752,0.257834,0.31355,40.268361,4.507653,109.467697
2024-12-27,95678.312446,3327.789776,687.51787,188.144566,0.859342,0.253226,0.28469,37.271506,4.187332,102.096784
2024-12-28,94331.947271,3328.611155,690.363942,183.748664,0.87417,0.258903,0.275964,36.47293,4.080146,100.317001
2024-12-29,95184.619453,3397.834121,720.567913,194.827651,0.887585,0.257944,0.294743,37.662892,4.20509,100.597131
2024-12-30,93663.44752,3357.330743,694.48268,189.928413,0.859143,0.257336,0.279484,35.859555,4.103429,98.327593
2024-12-31,92627.282131,3359.513942,703.106617,190.700665,0.859131,0.252956,0.277269,35.905495,4.169405,99.183341
2025-01-01,93507.858747,3336.617514,701.572326,189.451684,0.844261,0.254391,0.268525,35.674885,4.118603,103.077451
2025-01-02,94384.176115,3348.967247,705.813037,193.646791,0.914758,0.25515,0.294056,37.627938,4.269667,104.61694
2025-01-03,96852.146812,3448.140437,705.831242,207.878627,0.961848,0.265091,0.291943,39.233832,4.351739,105.247494
2025-01-04,98084.342793,3604.29138,713.047566,217.647289,1.090487,0.269789,0.312468,41.819066,4.959401,112.66537
2025-01-05,98256.738768,3660.378042,714.085773,216.683648,1.071921,0.269984,0.306322,42.683299,5.29782,111.247382
2025-01-06,98364.589466,3635.854996,709.301758,213.448235,1.093977,0.262605,0.301441,43.056961,5.237884,115.341241
2025-01-07,102229.394532,3687.144714,730.710927,218.420977,1.094148,0.268677,0.307906,43.99531,5.08019,113.994413
2025-01-08,96952.098868,3380.021126,696.833997,202.492546,0.993335,0.252839,0.290479,39.355232,4.792711,102.915583
2025-01-09,95016.71441,3325.130029,695.72662,197.452068,0.9479,0.250299,0.284434,37.406117,4.888628,101.555243
2025-01-10,92376.275783,3219.092845,686.294217,185.011135,0.906058,0.24033,0.269062,36.208126,4.747202,102.241823
2025-01-11,94736.626742,3269.175995,693.74278,187.820117,0.931671,0.244482,0.282152,36.721079,5.141554,104.225602
2025-01-12,94559.551672,3283.591323,696.734456,188.063251,0.996137,0.241006,0.292215,37.125356,4.971393,104.382128
2025-01-13,94454.770896,3264.070969,693.058443,188.391943,0.969187,0.233216,0.277811,36.521164,4.733489,102.320436
2025-01-14,94456.349375,3134.552039,688.357651,183.114289,0.945061,0.222881,0.275022,35.29878,4.747512,98.506653
2025-01-15,96574.077688,3224.800648,698.743444,187.704525,0.994421,0.220896,0.287106,36.510256,4.587793,102.336685
2025-01-16,100313.152398,3447.034048,714.791948,205.758548,1.084481,0.23819,0.327373,39.850203,4.85033,117.943116
2025-01-17,100044.579268,3309.446614,708.782977,211.233994,1.09067,0.237117,0.362701,40.003091,4.757792,124.128927
2025-01-18,104160.693585,3477.284285,721.135938,219.779054,1.136954,0.249034,0.375432,41.441507,4.856106,136.858566
2025-01-19,104334.615757,3309.099568,709.848579,262.561576,1.100931,0.242051,0.355265,39.288826,5.015581,125.43611
2025-01-20,101275.337148,3208.136544,682.349571,251.974886,0.991783,0.2287,0.326781,35.75227,4.502743,115.898593
2025-01-21,101764.908602,3263.06987,677.26173,242.471504,1.00682,0.237475,0.340473,35.781735,4.382287,117.826992
2025-01-22,106182.23682,3326.02854,693.063473,250.398491,1.004631,0.245056,0.33725,36.954237,4.659415,118.925345
2025-01-23,103673.535095,3237.299667,694.421933,256.114334,0.98025,0.253274,0.324332,36.715977,4.462931,115.188186
2025-01-24,104067.609912,3332.580893,689.692652,253.495031,0.988034,0.25261,0.327001,35.592765,4.315608,116.459002
2025-01-25,104835.192536,3311.849984,680.331261,253.626379,0.971569,0.254406,0.326938,35.300748,4.187985,118.621365
2025-01-26,104796.040777,3320.13141,686.462475,257.0743,0.977599,0.253422,0.332345,36.678979,4.138278,123.906339
2025-01-27,102552.248743,3232.276774,664.466709,241.067316,0.954178,0.245715,0.323652,35.830054,3.865475,117.286272
2025-01-28,101958.469537,3173.534608,679.677845,234.979147,0.933165,0.246462,0.31397,34.166758,3.960372,114.785621
2025-01-29,101313.112645,3076.493769,661.63116,226.889456,0.916236,0.240042,0.299111,32.186052,3.648654,110.187207
2025-01-30,103718.979398,3114.435885,667.745953,228.614543,0.941633,0.240092,0.309129,32.854028,3.702996,115.842928
2025-01-31,104781.51351,3248.249484,676.945296,239.047197,0.960968,0.252109,0.316473,34.306853,4.120793,129.843668
2025-02-01,102382.394097,3296.390635,677.112421,231.507823,0.942531,0.253773,0.306292,34.403275,4.085233,128.211836
2025-02-02,100674.787625,3125.03868,654.217143,214.463664,0.898263,0.244695,0.286581,32.224672,3.757897,119.296907
2025-02-03,97568.31653,2862.697619,616.642829,202.324929,0.798106,0.224998,0.251786,27.440535,3.288854,109.31031
2025-02-04,101466.860666,2877.813824,616.406806,215.951472,0.809525,0.228803,0.27442,28.384521,3.644884,106.681606
2025-02-05,98118.439217,2740.380976,573.604207,207.424064,0.74697,0.224874,0.251317,26.502613,3.615513,101.676963
2025-02-06,96582.886829,2790.552161,569.518105,196.217876,0.733266,0.222725,0.238621,25.906964,3.329347,103.299039
2025-02-07,96635.418753,2686.662317,572.211261,189.389325,0.703982,0.231693,0.227958,24.484275,3.136012,101.478932
2025-02-08,96558.45631,2623.450702,578.499267,192.270968,0.70686,0.2301,0.232698,24.4006,3.001364,103.394763
2025-02-09,96558.237625,2635.601142,614.709487,199.709394,0.702178,0.231885,0.234568,24.588691,3.075274,104.617299
2025-02-10,96548.578654,2632.535822,617.283855,200.446347,0.682909,0.233636,0.228949,24.893274,3.000715,107.734195
2025-02-11,97399.981614,2660.2968,617.627763,200.045847,0.709288,0.246399,0.231725,25.589977,3.208046,120.050696
2025-02-12,95739.977371,2603.03337,643.374116,197.929153,0.779874,0.241064,0.228876,25.370056,3.318709,119.652804
2025-02-13,97836.188561,2736.270314,698.071522,196.603014,0.797975,0.243455,0.23403,26.497319,3.589126,121.99463
2025-02-14,96561.663999,2675.709001,669.913653,194.26317,0.810256,0.234096,0.225108,25.42529,3.470158,126.030392
2025-02-15,97488.481485,2724.669834,657.410706,199.65012,0.800916,0.231444,0.23102,26.381659,3.561665,125.219741
2025-02-16,97569.951694,2692.821386,661.967916,194.425451,0.781478,0.237365,0.228903,25.489207,3.418998,133.621682
2025-02-17,96149.348455,2659.901747,674.732275,188.165584,0.77135,0.242825,0.219561,24.855318,3.266159,125.490899
2025-02-18,95776.157239,2741.90508,667.181813,177.919972,0.807287,0.238608,0.211877,25.016136,3.215098,122.2749
2025-02-19,95495.891533,2669.494501,647.73376,169.107182,0.753457,0.239165,0.206721,23.491768,3.059999,129.374318
2025-02-20,96554.871563,2714.801836,651.26996,169.264434,0.772054,0.242224,0.215742,23.712249,3.215229,135.046732
2025-02-21,98384.317382,2741.593363,657.235718,176.020742,0.804819,0.246485,0.222449,25.160682,3.449202,130.563787
