Nom,Prix (USD),Circulating Supply,Volume (USD),Poids (%)
Bitcoin,110736.00,"19,868,081.0",75187714714.00,68.10
Ethereum,2618.61,"120,726,807.5128747",37181569081.00,9.79
XRP,2.40,"58,686,007,292.0",4019523451.00,4.36
BNB,680.36,"145,887,575.79",1411373691.00,3.07
Solana,176.44,"520,045,796.4428181",6722800663.00,2.84
Dogecoin,0.24,"149,279,616,383.7052",3409406698.00,1.10
Cardano,0.79,"36,064,516,886.44718",1209283434.00,0.88
TRON,0.27,"94,883,432,523.40237",1075650825.00,0.80
Lido Staked Ether,2614.50,"9,026,440.678302769",46420827.00,0.73
Sui,4.07,"3,338,327,017.911665",1991174220.00,0.42
Wrapped stETH,3148.23,"3,458,253.75751316",32001362.00,0.34
Chainlink,16.31,"657,099,970.4527868",824242660.00,0.33
Hyperliquid,30.50,"333,928,180.0",323942351.00,0.32
Avalanche,24.01,"421,044,854.4276807",685609399.00,0.31
Stellar,0.30,"31,058,337,349.09716",268867817.00,0.29
Shiba Inu,0.00,"589,249,717,057,974.8",415071930.00,0.28
Hedera,0.20,"42,239,760,468.9278",236786681.00,0.26
Bitcoin Cash,414.56,"19,872,678.02165078",337288029.00,0.26
LEO Token,8.87,"923,399,218.9",5258907.00,0.25
Toncoin,3.15,"2,491,007,066.93449",235677561.00,0.24
Litecoin,98.30,"75,880,208.23347135",682034961.00,0.23
Monero,396.96,"18,446,744.07370955",202585203.00,0.23
Polkadot,4.81,"1,522,267,060.0",296036032.00,0.23
Bitget Token,5.26,"1,169,993,089.2",60362655.00,0.19
Pi Network,0.83,"7,220,672,106.67712",424097459.00,0.19
Binance Bridged USDT (BNB Smart Chain),1.00,"5,984,993,799.548712",5912191703.00,0.19
Pepe,0.00,"420,690,000,000,000.0",3069142795.00,0.18
WhiteBIT Coin,30.12,"144,118,517.10815412",41949647.00,0.13
Bittensor,470.47,"8,849,586.0",242534950.00,0.13
Aave,252.18,"15,137,761.384672882",633168575.00,0.12
Uniswap,6.31,"600,483,073.71",538746754.00,0.12
NEAR Protocol,2.94,"1,217,892,396.0",335065189.00,0.11
Aptos,5.37,"632,278,161.1856894",246701556.00,0.11
OKB,52.95,"60,000,000.0",14427777.00,0.10
Jito Staked SOL,212.27,"14,945,617.31070148",53617949.00,0.10
Ondo,1.00,"3,159,107,529.0",309236227.00,0.10
Kaspa,0.12,"26,204,255,921.28282",117369066.00,0.09
Ethereum Classic,19.40,"152,008,367.1188806",147913391.00,0.09
Cronos,0.10,"29,838,237,799.5282",26076300.00,0.09
Internet Computer,5.47,"533,496,889.7562581",87727245.00,0.09
Official Trump,14.52,"199,999,975.835994",1965115870.00,0.09
Tokenize Xchange,36.00,"79,995,999.05112354",27359249.00,0.09
Gate,21.79,"121,367,677.01585002",18961395.00,0.08
VeChain,0.03,"85,985,041,177.0",80065142.00,0.08
Render,4.91,"517,716,590.0562826",481504813.00,0.08
Mantle,0.75,"3,364,694,382.83684",331867945.00,0.08
Ethena,0.41,"5,820,312,500.0",487336887.00,0.07
sUSDS,1.05,"2,231,770,396.60999",13250273.00,0.07
Cosmos Hub,5.03,"450,580,646.101137",165386057.00,0.07
POL (ex-MATIC),0.25,"8,895,770,665.618116",127616146.00,0.07
USD1,1.00,"2,136,580,730.0",117940095.00,0.07
Artificial Superintelligence Alliance,0.81,"2,604,959,126.672",238497173.00,0.07
Lombard Staked BTC,110298.00,"18,826.07831085992",37509422.00,0.06
Arbitrum,0.42,"4,861,797,072.0",368723108.00,0.06
Algorand,0.24,"8,601,223,774.841873",101592802.00,0.06
Filecoin,3.00,"667,964,602.0",194060439.00,0.06
Worldcoin,1.26,"1,512,800,042.535903",516200541.00,0.06
Fasttoken,4.41,"429,475,179.0",54067386.00,0.06
Celestia,2.71,"643,475,287.971953",180295230.00,0.05
Bonk,0.00,"77,419,592,329,436.58",547846734.00,0.05
Sonic (prev. FTM),0.52,"3,175,000,000.0",136317291.00,0.05
Jupiter Perpetuals Liquidity Provider Token,4.67,"351,956,612.926398",110957602.00,0.05
Jupiter,0.54,"2,897,855,555.54",107971882.00,0.05
Binance Staked SOL,183.34,"8,174,113.870184196",2254691.00,0.05
Stacks,0.98,"1,526,810,558.52009",100941332.00,0.05
Fartcoin,1.47,"999,992,003.864697",340733797.00,0.05
Quant,99.73,"14,544,176.164091088",23720958.00,0.04
KuCoin,11.47,"125,025,334.8513356",2222928.00,0.04
Virtuals Protocol,2.00,"652,630,532.8268653",396735962.00,0.04
NEXO,1.28,"1,000,000,000.0",23069564.00,0.04
Sei,0.24,"5,332,083,333.0",96539275.00,0.04
Optimism,0.77,"1,657,120,774.0",331610491.00,0.04
Injective,12.99,"97,727,220.33",197896067.00,0.04
Flare,0.02,"65,491,539,279.0626",8508196.00,0.04
Immutable,0.69,"1,841,869,206.3898141",54161907.00,0.04
Story,4.49,"279,673,813.82",69747863.00,0.04
Rocket Pool ETH,2943.16,"414,809.3181455846",8909050.00,0.04
Maker,1754.64,"677,084.9677095808",72443071.00,0.04
USDT0,1.00,"1,180,916,778.48088",376234740.00,0.04
EOS,0.76,"1,516,885,789.1746",191465638.00,0.04
