id,circulating_supply
bitcoin,19823740.0
ethereum,120545397.9735351
binancecoin,145887575.79
solana,488170558.3522365
cardano,35918136268.48197
tron,86098760329.58989
sui,3089707194.508888
avalanche-2,411948599.9349633
the-open-network,2494179741.66753
hedera-hashgraph,38267523221.50778
hyperliquid,333928180.0
bitcoin-cash,19828903.02165078
mantra-dao,968578617.3199997
monero,18446744.07370955
near,1184141216.0
aptos,586597249.058613
internet-computer,480850929.8919666
ethereum-classic,150737494.9778864
bittensor,8215232.0
vechain,80985041177.0
kaspa,25696685876.71705
algorand,8434043295.954908
crypto-com-chain,27301411954.7772
filecoin,629410197.0
sonic-3,3175000000.0
fasttoken,429035494.6
celestia,526368097.181031
injective-protocol,97727220.33
xdce-crowd-sale,15688405706.4
theta-token,1000000000.0
movement,2400000000.0
flare-networks,58880044422.06447
sei-network,4432638888.0
gala,43013134948.88324
tezos,1029992352.595787
iota,3631397410.0
flow,1563712953.484012
chain-2,32620786754.89456
kaia,5856641747.106198
ronin,619389698.9641546
elrond-erd-2,27925383.0
berachain-bera,107522676.0177778
arweave,65454185.5381511
chiliz,9404216952.0
dydx-chain,732692487.4238985
ecash,19824664047583.0
kava,1082853808.0
aioz-network,1147403329.169904
coredaoorg,940307776.233652
gnosis,2589589.0
story-2,250000000.0
astar,7597527748.0
oasis-network,6729795897.58809
plume,2000000000.0
celo,562409366.0
decred,16622837.71873943
enjincoin,1805285527.081191
aelf,738908400.4422956
zetachain,683010417.0
skale,5775852671.0
polymesh,1133265615.788231
qubic-network,113962457003640.0
harmony,12305426115.0007
vana,30800000.0
chia,14072211.82162239
kadena,305695499.0682
casper-network,12840498475.0
digibyte,17513110137.20037
aleo,324412712.926369
hive,466345450.576
peaq-2,689865497.7442073
g-token,7232700000.0
zignaly,1411228195.2396517
moonbeam,949238486.0
coreum,649694844.343832
radix,10667440345.8671
wax,3504099552.3982
chromaway,838413747.882952
ong,404983863.8414432
supra,6480297298.28
