id,current_price
bitcoin,95636.0
ethereum,2633.4
binancecoin,668.66
solana,191.67
cardano,0.782996
tron,0.23505
sui,3.47
avalanche-2,25.26
the-open-network,3.7
hedera-hashgraph,0.219499
hyperliquid,24.83
bitcoin-cash,330.27
mantra-dao,5.65
monero,225.88
near,3.32
aptos,6.05
internet-computer,7.04
ethereum-classic,21.04
bittensor,376.88
vechain,0.0339598
kaspa,0.102883
algorand,0.291903
crypto-com-chain,0.090319
filecoin,3.37
sonic-3,0.539658
fasttoken,3.94
celestia,2.97
injective-protocol,14.9
xdce-crowd-sale,0.092803
theta-token,1.38
movement,0.534432
flare-networks,0.02019635
sei-network,0.230657
gala,0.02301097
tezos,0.878622
iota,0.233542
flow,0.516244
chain-2,0.02371213
kaia,0.130482
ronin,1.2
elrond-erd-2,22.91
berachain-bera,5.65
arweave,8.97
chiliz,0.060552
dydx-chain,0.763155
ecash,2.615e-05
kava,0.477951
aioz-network,0.443571
coredaoorg,0.531778
gnosis,171.8
story-2,1.75
astar,0.04006783
oasis-network,0.04350505
plume,0.135696
celo,0.446625
decred,13.46
enjincoin,0.123411
aelf,0.293349
zetachain,0.31507
skale,0.03652153
polymesh,0.182489
qubic-network,1.74e-06
harmony,0.01591051
vana,6.28
chia,12.64
kadena,0.562348
casper-network,0.01205073
digibyte,0.00844183
aleo,0.45429
hive,0.307817
peaq-2,0.202875
g-token,0.0191906
zignaly,0.093428
moonbeam,0.132178
coreum,0.190625
radix,0.01097137
wax,0.03193826
chromaway,0.130451
ong,0.261222
supra,0.01454357
