,Nom,Prix (USD),Circulating Supply,Volume (USD),Poids (%)
0,Bitcoin,95636.00000,"19,823,740.0",40637553711.00,73.62
1,Ethereum,2633.40000,"120,545,397.9735351",22658981940.00,12.33
2,BNB,668.66000,"145,887,575.79",5487023435.00,3.79
3,Solana,191.67000,"488,170,558.3522365",3659584451.00,3.63
4,Cardano,0.78300,"35,918,136,268.48197",744485013.00,1.09
5,TRON,0.23505,"86,098,760,329.58989",710281372.00,0.79
6,Sui,3.47000,"3,089,707,194.508888",1555714676.00,0.42
7,Avalanche,25.26000,"411,948,599.9349633",357487594.00,0.40
8,Toncoin,3.70000,"2,494,179,741.66753",197466395.00,0.36
9,Hedera,0.21950,"38,267,523,221.50778",277375791.00,0.33
10,Hyperliquid,24.83000,"333,928,180.0",165785462.00,0.32
11,Bitcoin Cash,330.27000,"19,828,903.02165078",180267646.00,0.25
12,MANTRA,5.65000,"968,578,617.3199997",304449950.00,0.21
13,Monero,225.88000,"18,446,744.07370955",57798900.00,0.16
14,NEAR Protocol,3.32000,"1,184,141,216.0",215349887.00,0.15
15,Aptos,6.05000,"586,597,249.058613",273227639.00,0.14
16,Internet Computer,7.04000,"480,850,929.8919666",129457677.00,0.13
17,Ethereum Classic,21.04000,"150,737,494.9778864",126900329.00,0.12
18,Bittensor,376.88000,"8,215,232.0",186187727.00,0.12
19,VeChain,0.03396,"80,985,041,177.0",56492030.00,0.11
20,Kaspa,0.10288,"25,696,685,876.71705",94430816.00,0.10
21,Algorand,0.29190,"8,434,043,295.954908",132651347.00,0.10
22,Cronos,0.09032,"27,301,411,954.7772",17742666.00,0.10
23,Filecoin,3.37000,"629,410,197.0",133201516.00,0.08
24,Sonic (prev. FTM),0.53966,"3,175,000,000.0",244866705.00,0.07
25,Fasttoken,3.94000,"429,035,494.6",48446813.00,0.07
26,Celestia,2.97000,"526,368,097.181031",100351872.00,0.06
27,Injective,14.90000,"97,727,220.33",114412696.00,0.06
28,XDC Network,0.09280,"15,688,405,706.4",44490647.00,0.06
29,Theta Network,1.38000,"1,000,000,000.0",23745359.00,0.05
30,Movement,0.53443,"2,400,000,000.0",98082912.00,0.05
31,Flare,0.02020,"58,880,044,422.06447",11534501.00,0.05
32,Sei,0.23066,"4,432,638,888.0",70960107.00,0.04
33,GALA,0.02301,"43,013,134,948.88324",122926464.00,0.04
34,Tezos,0.87862,"1,029,992,352.595787",27949776.00,0.04
35,IOTA,0.23354,"3,631,397,410.0",32728633.00,0.03
36,Flow,0.51624,"1,563,712,953.484012",33165846.00,0.03
37,Onyxcoin,0.02371,"32,620,786,754.89456",184834027.00,0.03
38,Kaia,0.13048,"5,856,641,747.106198",23992211.00,0.03
39,Ronin,1.20000,"619,389,698.9641546",27021371.00,0.03
40,MultiversX,22.91000,"27,925,383.0",25512163.00,0.02
41,Berachain,5.65000,"107,522,676.0177778",259291097.00,0.02
42,Arweave,8.97000,"65,454,185.5381511",50765039.00,0.02
43,Chiliz,0.06055,"9,404,216,952.0",57845728.00,0.02
44,dYdX,0.76316,"732,692,487.4238985",31777893.00,0.02
45,eCash,0.00003,"19,824,664,047,583.0",23815937.00,0.02
46,Kava,0.47795,"1,082,853,808.0",23601075.00,0.02
47,AIOZ Network,0.44357,"1,147,403,329.169904",23347491.00,0.02
48,Core,0.53178,"940,307,776.233652",42943516.00,0.02
49,Gnosis,171.80000,"2,589,589.0",8374055.00,0.02
50,Story,1.75000,"250,000,000.0",240498941.00,0.02
51,Astar,0.04007,"7,597,527,748.0",20170143.00,0.01
52,Oasis,0.04351,"6,729,795,897.58809",23317860.00,0.01
53,Plume,0.13570,"2,000,000,000.0",47682870.00,0.01
54,Celo,0.44662,"562,409,366.0",38636584.00,0.01
55,Decred,13.46000,"16,622,837.71873943",2288031.00,0.01
56,Enjin Coin,0.12341,"1,805,285,527.081191",36708631.00,0.01
57,aelf,0.29335,"738,908,400.4422956",9176769.00,0.01
58,ZetaChain,0.31507,"683,010,417.0",16634954.00,0.01
59,SKALE,0.03652,"5,775,852,671.0",35513132.00,0.01
60,Polymesh,0.18249,"1,133,265,615.788231",3507977.00,0.01
61,Qubic,0.00000,"113,962,457,003,640.0",6297555.00,0.01
62,Harmony,0.01591,"12,305,426,115.0007",14672282.00,0.01
63,Vana,6.28000,"30,800,000.0",14956352.00,0.01
64,Chia,12.64000,"14,072,211.82162239",14648525.00,0.01
65,Kadena,0.56235,"305,695,499.0682",14436068.00,0.01
66,Casper Network,0.01205,"12,840,498,475.0",8898493.00,0.01
67,DigiByte,0.00844,"17,513,110,137.20037",3492820.00,0.01
68,ALEO,0.45429,"324,412,712.926369",13229375.00,0.01
69,Hive,0.30782,"466,345,450.576",4784717.00,0.01
70,peaq,0.20287,"689,865,497.7442073",9327973.00,0.01
71,Gravity,0.01919,"7,232,700,000.0",14163759.00,0.01
72,ZIGChain,0.09343,"1,411,228,195.2396517",21583931.00,0.01
73,Moonbeam,0.13218,"949,238,486.0",7118710.00,0.00
74,Coreum,0.19062,"649,694,844.343832",2789268.00,0.00
75,Radix,0.01097,"10,667,440,345.8671",2403610.00,0.00
76,WAX,0.03194,"3,504,099,552.3982",9017525.00,0.00
77,Chromia,0.13045,"838,413,747.882952",13469161.00,0.00
78,Ontology Gas,0.26122,"404,983,863.8414432",2998935.00,0.00
79,Supra,0.01454,"6,480,297,298.28",19766968.00,0.00
